"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"101",39049006396,58954,0,952,966,446,NA,25,1096,1445,863,756,112,112,197,34.2,1008,1986,1049,0,1397,2607,4354,601,5544,114,3792,3188,65110,430,1379,5418,4.37284234752589,68.3982683982684,8.04473304473304,2.02020202020202,11.3396624472574,5.60538116591928,100,10.8405483405483,4.52457510335324,17.3633440514469,33.1878732200276,19.8208543867708,25.4521963824289
"102",39049006410,104792,0,105,415,11,NA,0,674,834,660,284,50,50,23,38.9,1280,1960,1445,0,578,1386,2091,111,2818,134,2612,1953,107500,94,337,2818,9.66810966810967,92.6898509581263,0.390347764371895,1.77430801987225,3.59877488514548,0,100,3.93896380411639,1.09995217599235,13.5820181731229,39.8852223816356,31.5638450502152,11.958836053939
"103",39049006430,109205,0,494,479,9,NA,0,1440,1431,1185,304,245,245,139,35.6,1225,1955,1403,0,552,2061,3540,102,5116,69,4401,3093,108068,88,808,5116,3.34788937409025,86.024237685692,0.175918686473808,4.78889757623143,1.99954555782777,0,100,1.99374511336982,3.92655367231638,8.58757062146893,40.4237288135593,33.4745762711864,15.7935887412041
"104",39049006500,176250,0,14,379,10,NA,0,901,1025,960,58,116,116,0,39.5,824,1940,2333,0,415,1393,2280,170,3457,77,3414,2237,180526,165,190,3457,5.52763819095477,98.756146948221,0.289268151576511,3.35551055828753,4.83304042179262,0,100,4.91755857680069,0,2.54385964912281,44.9561403508772,42.1052631578947,5.49609487995372
"105",39049006600,166429,0,76,272,27,NA,0,1101,1332,976,166,53,53,12,39.8,1153,1948,2175,0,369,1575,2696,112,3911,105,3791,2632,166741,104,351,3876,6.66666666666667,96.9317310150857,0.690360521605727,1.35515213500384,2.74333948826167,0,100,2.86371771925339,0.445103857566766,6.15727002967359,49.406528189911,36.2017804154303,9.05572755417957
"106",39049006710,78529,0,218,440,223,59792,0,736,735,598,276,15,15,10,40.5,965,1960,1430,9,502,1306,1990,162,2785,68,2198,1638,86915,156,440,2785,5.20673813169985,78.9228007181329,8.00718132854578,0.538599640933573,7.09736123748863,0,100,5.81687612208258,0.50251256281407,13.8693467336683,36.9346733668342,30.0502512562814,15.7989228007181
"107",39049006721,126467,0,68,212,34,NA,2,1069,1149,1028,169,35,35,1,44.6,1518,1967,1613,0,293,1390,2668,30,3739,28,3598,2565,126576,28,176,3708,2.01438848920863,96.2289382187751,0.909334046536507,0.936079165552287,0.778210116731518,5.88235294117647,100,0.802353570473389,0.0374812593703148,6.33433283358321,43.0659670164918,38.5307346326837,4.74649406688242
"108",39049006722,67188,0,45,279,102,NA,0,837,685,385,432,20,20,92,44.4,883,1969,1110,20,306,1182,2123,87,3021,39,2759,1978,73750,87,351,2821,3.2994923857868,91.327375041377,3.37636544190665,0.66203243958954,3.15331641899239,0,100,2.8798411122145,4.33349034385304,20.3485633537447,32.2656617993406,18.1347150259067,12.4423963133641
"109",39049006810,95952,0,6,241,29,NA,0,623,664,380,171,75,75,26,38,1305,1949,1439,0,317,969,1627,95,2302,29,2238,1589,95952,95,163,2302,2.99277605779154,97.2198088618593,1.25977410947003,3.25803649000869,4.24486148346738,0,100,4.12684622067767,1.5980331899201,10.5101413644745,40.8113091579594,23.3558696988322,7.08079930495222
"110",39049006821,42261,0,53,997,558,15568,272,609,631,486,534,15,15,118,37.6,719,1966,737,9,1183,2166,2679,619,3309,374,2512,2245,43768,321,1311,3249,17.2668513388735,75.914173466304,16.8631006346328,0.453309156844968,12.7786624203822,48.7455197132617,100,18.706557872469,4.40462859275849,19.93281075028,23.5535647629713,18.1410974244121,40.3508771929825
